n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
500,0.03,12,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,0,4,reg:squarederror,hist,True,69256.2494912472
500,0.03,12,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,1,0,reg:squarederror,hist,True,85191.84105929564
500,0.03,12,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,1,1,reg:squarederror,hist,True,71277.77093443989
500,0.03,12,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,1,2,reg:squarederror,hist,True,70052.61804995697
500,0.03,12,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,1,3,reg:squarederror,hist,True,69085.28815646398
500,0.03,12,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,1,4,reg:squarederror,hist,True,69363.51012226776
500,0.03,12,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,2,0,reg:squarederror,hist,True,85409.04871912778
500,0.03,12,2,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,2,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,2,1,reg:squarederror,hist,True,71497.5354061621
500,0.03,12,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,2,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,2,2,reg:squarederror,hist,True,70049.29097559585
500,0.03,12,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,2,3,reg:squarederror,hist,True,69358.05682702991
500,0.03,12,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,2,4,reg:squarederror,hist,True,69203.56798838908
500,0.03,12,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,0,0,reg:squarederror,hist,True,65378.02010957921
500,0.05,6,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,0,1,reg:squarederror,hist,True,63291.533369161145
500,0.05,6,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,0,2,reg:squarederror,hist,True,63255.94162886852
500,0.05,6,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,0,3,reg:squarederror,hist,True,62797.55709901585
500,0.05,6,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,0,4,reg:squarederror,hist,True,62559.86456962512
500,0.05,6,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,1,0,reg:squarederror,hist,True,65424.87632755387
500,0.05,6,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,1,1,reg:squarederror,hist,True,63271.26727835662
500,0.05,6,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,1,2,reg:squarederror,hist,True,63369.23017737413
500,0.05,6,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,1,3,reg:squarederror,hist,True,62672.75386124469
500,0.05,6,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,1,4,reg:squarederror,hist,True,62520.70910075318
500,0.05,6,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.05,6,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.05,6,2,0,reg:squarederror,hist,True,65424.87862422805
500,0.05,6,2,0,reg:pseudohubererror,hist,True,4689940556.248134
